,Alexandr Zinkevich,Andrej Todić,Anton Folomin,Apostolos Michaloudis,Arslan Kenbayev,Artem Golomolzin,Artur Kamaleev,Assumpta Kasamba Namuddu,Athanasia Dalakoura,Atilkhan Nodyarov,Christos Toulakis,David Špiljak,Dea Nozadze,Esther Ntambi Nakyeyune,Filip Landek,Ifrah Ali,Ilya Martchenko,Ioannis Kalantzis,Ioannis Lymperis,Kunduz Turekhanova,Marie Goretti Gyaviira,Milen Kadiyski,Mircea Noru Parpalea,Mladen Matev,Nasko Stamenov,Neli Ivanova,Nikola Karavasilev,Polina Parinova,Radu Andrei Morarasu,Raja Neehaat Ali Hussain Khan,Sotirios Damianos Kaproulias,Teimuraz Gachechiladze,Yavor Yordanov,Assel Kenzhetay,Nada Matas,Nurzada Beissen,Gulmira Yarmukhamedova,Andrei Komarov,Nurlan Abildayev,Aisha Nurakhmet,Sagira Mamatova
Alexandr Zinkevich,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1
Andrej Todić,0,3,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0
Anton Folomin,0,0,3,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
Apostolos Michaloudis,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Arslan Kenbayev,0,1,0,0,3,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0
Artem Golomolzin,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Artur Kamaleev,0,1,0,1,0,0,3,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Assumpta Kasamba Namuddu,0,0,1,0,0,0,0,3,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
Athanasia Dalakoura,1,0,1,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0
Atilkhan Nodyarov,0,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0
Christos Toulakis,0,0,1,0,1,0,0,1,0,0,3,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
David Špiljak,1,0,0,1,0,0,0,0,0,0,0,3,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
Dea Nozadze,0,1,0,0,1,0,1,1,0,0,1,0,3,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
Esther Ntambi Nakyeyune,0,0,0,1,1,1,1,0,0,0,1,0,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Filip Landek,0,0,1,0,0,0,0,0,0,0,1,1,0,0,3,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Ifrah Ali,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,3,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilya Martchenko,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Ioannis Kalantzis,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Ioannis Lymperis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kunduz Turekhanova,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
Marie Goretti Gyaviira,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
Milen Kadiyski,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Mircea Noru Parpalea,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mladen Matev,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0
Nasko Stamenov,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,3,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0
Neli Ivanova,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0
Nikola Karavasilev,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Polina Parinova,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,1,1,0
Radu Andrei Morarasu,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,0,1,0,0,0,1,0,0,0,0,1,0
Raja Neehaat Ali Hussain Khan,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,1,0,0,0,0,0,0,0,1,0,1
Sotirios Damianos Kaproulias,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0
Teimuraz Gachechiladze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yavor Yordanov,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0
Assel Kenzhetay,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,3,0,0,0,1,0,1,0
Nada Matas,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Nurzada Beissen,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0
Gulmira Yarmukhamedova,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0
Andrei Komarov,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0
Nurlan Abildayev,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,3,0,1
Aisha Nurakhmet,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,3,0
Sagira Mamatova,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2
